id,keyword,volume,position,estimated_visits,cpc,paid_difficulty,seo_difficulty,ranking_url,city,state,country,region,url_location,area,category,business_category,product_category,source,url_keyword,unknown_col,remaining_url_keywords,priority
4589,gujarat bhawan new delhi,18100,13,164,$0.56,2,11,https://www.mappls.com/place-gujarat+bhawan-kautilya+marg-chanakyapuri-new+delhi-delhi-110021-753ADB@zdata=MjguNTk5MDMyKzc3LjE5NzMxNysxNys3NTNBREIrKw==ed,,Gujarat,India,West,,,,,,mappls.com,bhawan new delhi,,place kautilya marg chanakyapuri delhi 110021 753adb zdata mjguntk5mdmykzc3lje5nzmxnysxnys3ntnbreirkw ed,1
4590,gidc sachin,33100,13,204,$0.06,6,21,https://www.mappls.com/60tawp,,,,,,,,,,mappls.com,,,60tawp,1
4591,foodstruck,18100,21,77,$0.32,2,30,https://www.mappls.com/place-food+struck-old+popatlal+building-ranade+road-bhawani+sankar-dadar-mumbai-maharashtra-400028-A80CX3@zdata=MTkuMDIxNzQ2KzcyLjgzOTQxMisxNytBODBDWDMrK25yed,Mumbai,Maharashtra,India,West,Mumbai,,Restaurant,Food & Dining,Food & Dining,mappls.com,,,place struck old popatlal building ranade road bhawani sankar dadar 400028 a80cx3 zdata mtkumdixnzq2kzcyljgzotqxmisxnytbodbdwdmrk25yed,1
4592,focus mall calicut,18100,20,77,$0,9,21,https://www.mappls.com/bd3bt8,,,,,,,,,,mappls.com,,,bd3bt8,1
4593,fathima hospital calicut,18100,14,164,$0.21,3,17,https://www.mappls.com/place-fathima+hospital-bank+road-near+lic+office-district+kozhikode-kozhikode-kerala-673011-3stadb@zdata=MTEuMjYyMTErNzUuNzgwMTYrMTcrM3N0YWRiKys=ed,Kozhikode,Kerala,India,South,Kozhikode,,,,,mappls.com,fathima hospital,,place bank road lic office district 673011 3stadb zdata mteumjyymternzuunzgwmtyrmtcrm3n0ywrikys ed,1
4594,f c road pune,14800,9,848,$0.12,1,27,https://www.mappls.com/w5yzxj,,,,,,,,,,mappls.com,,,w5yzxj,1
4595,double road,18100,5,2932,$0.13,4,41,https://www.mappls.com/place-double+road+bus+stop-kh+road-bheemanna+garden-shanti+nagar-bengaluru-karnataka-560027-3ZYJWN@zdata=MTIuOTU4MTgxKzc3LjU5MzE4OSsxNyszWllKV04rK25yed,Bengaluru,Karnataka,India,South,Bengaluru,,,,,mappls.com,double road,,place bus stop kh road bheemanna garden shanti nagar 560027 3zyjwn zdata mtiuotu4mtgxkzc3lju5mze4ossxnyszwllkv04rk25yed,1
4596,berhampore court station,12100,16,106,$0.23,2,18,https://www.mappls.com/place-berhampore+court+railway+station-gora+bazar-berhampore-west+bengal-742101-5ED7S6@zdata=MjQuMDg5Mjc3Kzg4LjI2MzcwNisxNys1RUQ3UzYrK25yed,,,,,,,,,,mappls.com,berhampore court station,,place railway gora bazar berhampore bengal 742101 5ed7s6 zdata mjqumdg5mjc3kzg4lji2mzcwnisxnys1ruq3uzyrk25yed,1
4597,belur temple in karnataka,18100,42,38,$0.01,1,27,https://www.mappls.com/25ee8d,,,,,,,,,,mappls.com,,,25ee8d,1
4598,bajaj auto parts,14800,39,38,$0.02,20,24,https://www.mappls.com/8f852b,,,,,,,,,,mappls.com,,,8f852b,1
